id,name,pokedex number,supertype,subtypes,hp,types,attacks,weaknesses,retreat cost,set name,release date,artist,rarity,card image (small),card image hires,tcg player url,tcg price date,tcg market price usd (normal),tcg low price usd (normal),tcg high price usd (normal),tcg market price usd (reverse holofoil),tcg low price usd (reverse holofoil),tcg high price usd (reverse holofoil),tcg market price usd (holofoil),tcg low price usd (holofoil),tcg high price usd (holofoil),count,score
base1-22,Pidgeotto,17.0,Pokémon,Stage 1,60,Colorless,"Whirlwind (20), Mirror Move ()",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/22.png,https://images.pokemontcg.io/base1/22_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-22,2025/04/12,10.11,3.5,22.99,,,,,,,0,0
base1-20,Electabuzz,125.0,Pokémon,Basic,70,Lightning,"Thundershock (10), Thunderpunch (30+)",Fighting ×2,2,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/20.png,https://images.pokemontcg.io/base1/20_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-20,2025/04/12,8.55,3.91,18.99,,,,,,,0,0
base1-21,Electrode,101.0,Pokémon,Stage 1,80,Lightning,Electric Shock (50),Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/21.png,https://images.pokemontcg.io/base1/21_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-21,2025/04/12,5.96,2.0,13498.65,,,,,,,0,0
base1-23,Arcanine,59.0,Pokémon,Stage 1,100,Fire,"Flamethrower (50), Take Down (80)",Water ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/23.png,https://images.pokemontcg.io/base1/23_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-23,2025/04/12,2.04,0.68,9999.0,,,,,,,0,0
base1-25,Dewgong,87.0,Pokémon,Stage 1,80,Water,"Aurora Beam (50), Ice Beam (30)",Lightning ×2,3,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/25.png,https://images.pokemontcg.io/base1/25_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-25,2025/04/12,1.79,0.55,4.99,,,,,,,0,0
base1-26,Dratini,147.0,Pokémon,Basic,40,Colorless,Pound (10),,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/26.png,https://images.pokemontcg.io/base1/26_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-26,2025/04/12,1.77,0.29,4.99,,,,,,,0,0
base1-24,Charmeleon,5.0,Pokémon,Stage 1,80,Fire,"Slash (30), Flamethrower (50)",Water ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/24.png,https://images.pokemontcg.io/base1/24_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-24,2025/04/12,1.68,0.25,9999.0,,,,,,,0,0
base1-27,Farfetch'd,83.0,Pokémon,Basic,50,Colorless,"Leek Slap (30), Pot Smash (30)",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/27.png,https://images.pokemontcg.io/base1/27_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-27,2025/04/12,0.93,0.23,6.49,,,,,,,0,0
base1-28,Growlithe,58.0,Pokémon,Basic,60,Fire,Flare (20),Water ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/28.png,https://images.pokemontcg.io/base1/28_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-28,2025/04/12,1.12,0.25,9999.0,,,,,,,0,0
base1-29,Haunter,93.0,Pokémon,Stage 1,60,Psychic,"Hypnosis (), Dream Eater (50)",,1,Base,1999/01/09,Keiji Kinebuchi,Uncommon,https://images.pokemontcg.io/base1/29.png,https://images.pokemontcg.io/base1/29_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-29,2025/04/12,1.35,0.25,89.0,,,,,,,0,0
base1-30,Ivysaur,2.0,Pokémon,Stage 1,60,Grass,"Vine Whip (30), Poisonpowder (20)",Fire ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/30.png,https://images.pokemontcg.io/base1/30_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-30,2025/04/12,3.05,0.75,9999.0,,,,,,,0,0
base1-32,Kadabra,64.0,Pokémon,Stage 1,60,Psychic,"Recover (), Super Psy (50)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/32.png,https://images.pokemontcg.io/base1/32_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-32,2025/04/12,1.55,0.38,9999.0,,,,,,,0,0
base1-34,Machoke,67.0,Pokémon,Stage 1,80,Fighting,"Karate Chop (50-), Submission (60)",Psychic ×2,3,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/34.png,https://images.pokemontcg.io/base1/34_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-34,2025/04/12,0.96,0.12,9999.0,,,,,,,0,0
base1-31,Jynx,124.0,Pokémon,Basic,70,Psychic,"Doubleslap (10×), Meditate (20+)",Psychic ×2,2,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/31.png,https://images.pokemontcg.io/base1/31_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-31,2025/04/12,1.13,0.15,9999.0,,,,,,,0,0
base1-33,Kakuna,14.0,Pokémon,Stage 1,80,Grass,"Stiffen (), Poisonpowder (20)",Fire ×2,2,Base,1999/01/09,Keiji Kinebuchi,Uncommon,https://images.pokemontcg.io/base1/33.png,https://images.pokemontcg.io/base1/33_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-33,2025/04/12,1.19,0.2,89.0,,,,,,,0,0
base1-35,Magikarp,129.0,Pokémon,Basic,30,Water,"Tackle (10), Flail (10×)",Lightning ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/35.png,https://images.pokemontcg.io/base1/35_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-35,2025/04/12,2.4,0.39,89.0,,,,,,,0,0
base1-37,Nidorino,33.0,Pokémon,Stage 1,60,Grass,"Double Kick (30×), Horn Drill (50)",Psychic ×2,1,Base,1999/01/09,Mitsuhiro Arita,Uncommon,https://images.pokemontcg.io/base1/37.png,https://images.pokemontcg.io/base1/37_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-37,2025/04/12,1.82,0.69,89.0,,,,,,,0,0
base1-36,Magmar,126.0,Pokémon,Basic,50,Fire,"Fire Punch (30), Flamethrower (50)",Water ×2,2,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/36.png,https://images.pokemontcg.io/base1/36_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-36,2025/04/12,2.46,0.58,89.0,,,,,,,0,0
base1-38,Poliwhirl,61.0,Pokémon,Stage 1,60,Water,"Amnesia (), Doubleslap (30×)",Grass ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/38.png,https://images.pokemontcg.io/base1/38_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-38,2025/04/12,1.34,0.25,9999.0,,,,,,,0,0
base1-39,Porygon,137.0,Pokémon,Basic,30,Colorless,"Conversion 1 (), Conversion 2 ()",Fighting ×2,1,Base,1999/01/09,Tomoaki Imakuni,Uncommon,https://images.pokemontcg.io/base1/39.png,https://images.pokemontcg.io/base1/39_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-39,2025/04/12,2.19,0.75,5.08,,,,,,,0,0
base1-40,Raticate,20.0,Pokémon,Stage 1,60,Colorless,"Bite (20), Super Fang ()",Fighting ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/40.png,https://images.pokemontcg.io/base1/40_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-40,2025/04/12,2.01,0.5,7.05,,,,,,,0,0
base1-41,Seel,86.0,Pokémon,Basic,60,Water,Headbutt (10),Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/41.png,https://images.pokemontcg.io/base1/41_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-41,2025/04/12,1.07,0.24,89.0,,,,,,,0,0
base1-42,Wartortle,8.0,Pokémon,Stage 1,70,Water,"Withdraw (), Bite (40)",Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Uncommon,https://images.pokemontcg.io/base1/42.png,https://images.pokemontcg.io/base1/42_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-42,2025/04/12,2.68,0.69,4321.0,,,,,,,0,0
base1-44,Bulbasaur,1.0,Pokémon,Basic,40,Grass,Leech Seed (20),Fire ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/44.png,https://images.pokemontcg.io/base1/44_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-44,2025/04/12,1.51,0.15,89.0,,,,,,,0,0
base1-45,Caterpie,10.0,Pokémon,Basic,40,Grass,String Shot (10),Fire ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/45.png,https://images.pokemontcg.io/base1/45_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-45,2025/04/12,1.03,0.2,4.99,,,,,,,0,0
base1-43,Abra,63.0,Pokémon,Basic,30,Psychic,Psyshock (10),Psychic ×2,0,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/43.png,https://images.pokemontcg.io/base1/43_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-43,2025/04/12,0.85,0.15,9999.0,,,,,,,0,0
base1-46,Charmander,4.0,Pokémon,Basic,50,Fire,"Scratch (10), Ember (30)",Water ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/46.png,https://images.pokemontcg.io/base1/46_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-46,2025/04/12,1.48,0.25,89.0,,,,,,,0,0
base1-48,Doduo,84.0,Pokémon,Basic,50,Colorless,Fury Attack (10×),Lightning ×2,0,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/48.png,https://images.pokemontcg.io/base1/48_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-48,2025/04/12,0.98,0.15,7.18,,,,,,,0,0
base1-47,Diglett,50.0,Pokémon,Basic,30,Fighting,"Dig (10), Mud Slap (30)",Grass ×2,0,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/47.png,https://images.pokemontcg.io/base1/47_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-47,2025/04/12,0.63,0.15,30.0,,,,,,,0,0
base1-49,Drowzee,96.0,Pokémon,Basic,50,Psychic,"Pound (10), Confuse Ray (10)",Psychic ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/49.png,https://images.pokemontcg.io/base1/49_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-49,2025/04/12,0.71,0.05,4.99,,,,,,,0,0
base1-50,Gastly,92.0,Pokémon,Basic,30,Psychic,"Sleeping Gas (), Destiny Bond ()",,0,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/50.png,https://images.pokemontcg.io/base1/50_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-50,2025/04/12,0.81,0.15,89.0,,,,,,,0,0
base1-56,Onix,95.0,Pokémon,Basic,90,Fighting,"Rock Throw (10), Harden ()",Grass ×2,3,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/56.png,https://images.pokemontcg.io/base1/56_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-56,2025/04/12,0.6,0.13,8.43,,,,,,,0,0
base1-55,Nidoran ♂,32.0,Pokémon,Basic,40,Grass,Horn Hazard (30),Psychic ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/55.png,https://images.pokemontcg.io/base1/55_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-55,2025/04/12,0.68,0.2,89.0,,,,,,,0,0
base1-51,Koffing,109.0,Pokémon,Basic,50,Grass,Foul Gas (10),Psychic ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/51.png,https://images.pokemontcg.io/base1/51_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-51,2025/04/12,0.57,0.1,9999.0,,,,,,,0,0
base1-52,Machop,66.0,Pokémon,Basic,50,Fighting,Low Kick (20),Psychic ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/52.png,https://images.pokemontcg.io/base1/52_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-52,2025/04/12,0.57,0.07,15.0,,,,,,,0,0
base1-53,Magnemite,81.0,Pokémon,Basic,40,Lightning,"Thunder Wave (10), Selfdestruct (40)",Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/53.png,https://images.pokemontcg.io/base1/53_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-53,2025/04/12,0.62,0.19,9999.0,,,,,,,0,0
base1-54,Metapod,11.0,Pokémon,Stage 1,70,Grass,"Stiffen (), Stun Spore (20)",Fire ×2,2,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/54.png,https://images.pokemontcg.io/base1/54_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-54,2025/04/12,0.78,0.15,9999.0,,,,,,,0,0
base1-57,Pidgey,16.0,Pokémon,Basic,40,Colorless,Whirlwind (10),Lightning ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/57.png,https://images.pokemontcg.io/base1/57_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-57,2025/04/12,1.11,0.2,3.99,,,,,,,0,0
base1-59,Poliwag,60.0,Pokémon,Basic,40,Water,Water Gun (10+),Grass ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/59.png,https://images.pokemontcg.io/base1/59_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-59,2025/04/12,0.7,0.1,9999.0,,,,,,,0,0
base1-60,Ponyta,77.0,Pokémon,Basic,40,Fire,"Smash Kick (20), Flame Tail (30)",Water ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/60.png,https://images.pokemontcg.io/base1/60_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-60,2025/04/12,0.56,0.14,2.5,,,,,,,0,0
base1-61,Rattata,19.0,Pokémon,Basic,30,Colorless,Bite (20),Fighting ×2,0,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/61.png,https://images.pokemontcg.io/base1/61_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-61,2025/04/12,0.79,0.15,4.0,,,,,,,0,0
base1-58,Pikachu,25.0,Pokémon,Basic,40,Lightning,"Gnaw (10), Thunder Jolt (30)",Fighting ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/58.png,https://images.pokemontcg.io/base1/58_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-58,2025/04/12,4.01,0.48,9999.0,,,,,,,0,0
base1-62,Sandshrew,27.0,Pokémon,Basic,40,Fighting,Sand-attack (10),Grass ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/62.png,https://images.pokemontcg.io/base1/62_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-62,2025/04/12,1.22,0.15,89.0,,,,,,,0,0
base1-64,Starmie,121.0,Pokémon,Stage 1,60,Water,"Recover (), Star Freeze (20)",Lightning ×2,1,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/64.png,https://images.pokemontcg.io/base1/64_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-64,2025/04/12,0.81,0.2,89.0,,,,,,,0,0
base1-65,Staryu,120.0,Pokémon,Basic,40,Water,Slap (20),Lightning ×2,1,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/65.png,https://images.pokemontcg.io/base1/65_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-65,2025/04/12,0.51,0.1,4.74,,,,,,,0,0
base1-63,Squirtle,7.0,Pokémon,Basic,40,Water,"Bubble (10), Withdraw ()",Lightning ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/63.png,https://images.pokemontcg.io/base1/63_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-63,2025/04/12,3.26,0.4,89.0,,,,,,,0,0
base1-66,Tangela,114.0,Pokémon,Basic,50,Grass,"Bind (20), Poisonpowder (20)",Fire ×2,2,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/66.png,https://images.pokemontcg.io/base1/66_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-66,2025/04/12,1.1,0.14,89.0,,,,,,,0,0
base1-67,Voltorb,100.0,Pokémon,Basic,40,Lightning,Tackle (10),Fighting ×2,1,Base,1999/01/09,Keiji Kinebuchi,Common,https://images.pokemontcg.io/base1/67.png,https://images.pokemontcg.io/base1/67_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-67,2025/04/12,1.54,0.25,89.0,,,,,,,0,0
base1-68,Vulpix,37.0,Pokémon,Basic,50,Fire,Confuse Ray (10),Water ×2,1,Base,1999/01/09,Ken Sugimori,Common,https://images.pokemontcg.io/base1/68.png,https://images.pokemontcg.io/base1/68_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-68,2025/04/12,1.03,0.19,8.41,,,,,,,0,0
base1-71,Computer Search,,Trainer,,,,,,0,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/71.png,https://images.pokemontcg.io/base1/71_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-71,2025/04/12,3.58,0.85,89.0,,,,,,,0,0
base1-69,Weedle,13.0,Pokémon,Basic,40,Grass,Poison Sting (10),Fire ×2,1,Base,1999/01/09,Mitsuhiro Arita,Common,https://images.pokemontcg.io/base1/69.png,https://images.pokemontcg.io/base1/69_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-69,2025/04/12,0.58,0.14,5.45,,,,,,,0,0
base1-72,Devolution Spray,,Trainer,,,,,,0,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/72.png,https://images.pokemontcg.io/base1/72_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-72,2025/04/12,3.65,1.5,9999.0,,,,,,,0,0
base1-70,Clefairy Doll,,Trainer,,10,,,,0,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/70.png,https://images.pokemontcg.io/base1/70_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-70,2025/04/12,4.89,1.99,89.0,,,,,,,0,0
base1-74,Item Finder,,Trainer,,,,,,0,Base,1999/01/09,Keiji Kinebuchi,Rare,https://images.pokemontcg.io/base1/74.png,https://images.pokemontcg.io/base1/74_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-74,2025/04/12,9.87,6.95,25.0,,,,,,,0,0
base1-73,Impostor Professor Oak,,Trainer,,,,,,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/73.png,https://images.pokemontcg.io/base1/73_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-73,2025/04/12,5.19,2.49,4321.0,,,,,,,0,0
base1-76,Pokémon Breeder,,Trainer,,,,,,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/76.png,https://images.pokemontcg.io/base1/76_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-76,2025/04/12,7.18,3.25,89.0,,,,,,,0,0
base1-75,Lass,,Trainer,,,,,,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/75.png,https://images.pokemontcg.io/base1/75_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-75,2025/04/12,2.51,0.85,8.99,,,,,,,0,0
base1-77,Pokémon Trader,,Trainer,,,,,,0,Base,1999/01/09,Ken Sugimori,Rare,https://images.pokemontcg.io/base1/77.png,https://images.pokemontcg.io/base1/77_hires.png,https://prices.pokemontcg.io/tcgplayer/base1-77,2025/04/12,4.35,1.86,89.0,,,,,,,0,0
